reference_no,reference_text_joined,source_lines_as_printed,project_text_before_last_location_suffix,last_location_suffix_as_printed,location_split_method,reference_scope,source_pdf_page,source_printed_page,source_column,catalog_text_color,verification_status,verification_note
566,İZMİR NATO ÜSSÜ,İZMİR NATO ÜSSÜ,İZMİR NATO ÜSSÜ,,no slash suffix,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
567,İZMİT KENT KONUT / KOCAELİ,İZMİT KENT KONUT / KOCAELİ,İZMİT KENT KONUT,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
568,İZMİT KÖRFEZ GEÇİŞ KÖPRÜSÜ / YALOVA,İZMİT KÖRFEZ GEÇİŞ KÖPRÜSÜ / YALOVA,İZMİT KÖRFEZ GEÇİŞ KÖPRÜSÜ,YALOVA,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
569,İZMİT PLANETARYUM SANAL GERÇEKLİK KÜRESİ / KOCAELİ,İZMİT PLANETARYUM SANAL GERÇEKLİK KÜRESİ / KOCAELİ,İZMİT PLANETARYUM SANAL GERÇEKLİK KÜRESİ,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
570,KABATAŞ MAHMUTBEY METRO / İSTANBUL,KABATAŞ MAHMUTBEY METRO / İSTANBUL,KABATAŞ MAHMUTBEY METRO,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
571,KABİL - DARULAMA SARAYI ARASI YOL YAPIM / AFGANİSTAN,KABİL - DARULAMA SARAYI ARASI YOL YAPIM / AFGANİSTAN,KABİL - DARULAMA SARAYI ARASI YOL YAPIM,AFGANİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
572,KADIKÖY ANADOLU LİSESİ / İSTANBUL,KADIKÖY ANADOLU LİSESİ / İSTANBUL,KADIKÖY ANADOLU LİSESİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
573,KADİRLİ ATIKSU ARITMA TESİSİ / OSMANİYE,KADİRLİ ATIKSU ARITMA TESİSİ / OSMANİYE,KADİRLİ ATIKSU ARITMA TESİSİ,OSMANİYE,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
574,KAHİRE HAVAALANI / MISIR,KAHİRE HAVAALANI / MISIR,KAHİRE HAVAALANI,MISIR,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
575,KAHTA ATIKSU ARITMA TESİSİ / ADIYAMAN,KAHTA ATIKSU ARITMA TESİSİ / ADIYAMAN,KAHTA ATIKSU ARITMA TESİSİ,ADIYAMAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
576,KALEKİM FABRİKA / BALIKESİR,KALEKİM FABRİKA / BALIKESİR,KALEKİM FABRİKA,BALIKESİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
577,KANDIRA BELEDİYESİ KÜLTÜR MERKEZİ / KOCAELİ,KANDIRA BELEDİYESİ KÜLTÜR MERKEZİ / KOCAELİ,KANDIRA BELEDİYESİ KÜLTÜR MERKEZİ,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
578,KAPİ KAUÇUK TUZLA / İSTANBUL,KAPİ KAUÇUK TUZLA / İSTANBUL,KAPİ KAUÇUK TUZLA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
579,KARADAĞ RES ALİAĞA / İZMİR,KARADAĞ RES ALİAĞA / İZMİR,KARADAĞ RES ALİAĞA,İZMİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
580,KARAMAN GES,KARAMAN GES,KARAMAN GES,,no slash suffix,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
581,KARAPINAR ATIKSU ARITMA TESİSİ / KONYA,KARAPINAR ATIKSU ARITMA TESİSİ / KONYA,KARAPINAR ATIKSU ARITMA TESİSİ,KONYA,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
582,KARASU ATIKSU ARITMA TESİSİ / SAKARYA,KARASU ATIKSU ARITMA TESİSİ / SAKARYA,KARASU ATIKSU ARITMA TESİSİ,SAKARYA,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
583,KARAT34 BAHÇELİEVLER / İSTANBUL,KARAT34 BAHÇELİEVLER / İSTANBUL,KARAT34 BAHÇELİEVLER,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
584,KARATAŞ ATIKSU ARITMA TESİSİ / ADANA,KARATAŞ ATIKSU ARITMA TESİSİ / ADANA,KARATAŞ ATIKSU ARITMA TESİSİ,ADANA,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
585,KARDEMİR ÇELİK SAN. A.Ş. / İZMİR,KARDEMİR ÇELİK SAN. A.Ş. / İZMİR,KARDEMİR ÇELİK SAN. A.Ş.,İZMİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
586,KARİZMA KULE KARTAL / İSTANBUL,KARİZMA KULE KARTAL / İSTANBUL,KARİZMA KULE KARTAL,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
587,KARTAL EĞİTİM VE ARAŞTIRMA HASTANESİ / İSTANBUL,KARTAL EĞİTİM VE ARAŞTIRMA HASTANESİ / İSTANBUL,KARTAL EĞİTİM VE ARAŞTIRMA HASTANESİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
588,KASABA EVLERİ ÇEKMEKÖY / İSTANBUL,KASABA EVLERİ ÇEKMEKÖY / İSTANBUL,KASABA EVLERİ ÇEKMEKÖY,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
589,KASTAMONU ENTEGRE FABRİKASI / ADANA,KASTAMONU ENTEGRE FABRİKASI / ADANA,KASTAMONU ENTEGRE FABRİKASI,ADANA,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
590,KASTAMONU ENTEGRE FABRİKASI / BALIKESİR,KASTAMONU ENTEGRE FABRİKASI / BALIKESİR,KASTAMONU ENTEGRE FABRİKASI,BALIKESİR,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
591,KASTAMONU ENTEGRE FABRİKASI / KOCAELİ,KASTAMONU ENTEGRE FABRİKASI / KOCAELİ,KASTAMONU ENTEGRE FABRİKASI,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
592,KASTAMONU ENTEGRE FABRİKASI / SAMSUN,KASTAMONU ENTEGRE FABRİKASI / SAMSUN,KASTAMONU ENTEGRE FABRİKASI,SAMSUN,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
593,KASTAMONU ENTEGRE FABRİKASI / TATARİSTAN,KASTAMONU ENTEGRE FABRİKASI / TATARİSTAN,KASTAMONU ENTEGRE FABRİKASI,TATARİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
594,KAŞINHANI KATI ATIK ENTEGRE TESİSİ / KONYA,KAŞINHANI KATI ATIK ENTEGRE TESİSİ / KONYA,KAŞINHANI KATI ATIK ENTEGRE TESİSİ,KONYA,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
595,KAVACIK KIZ YURDU BLOKLARI / İSTANBUL,KAVACIK KIZ YURDU BLOKLARI / İSTANBUL,KAVACIK KIZ YURDU BLOKLARI,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
596,KAVÇİM ÇİMENTO FABRİKASI / SAMSUN,KAVÇİM ÇİMENTO FABRİKASI / SAMSUN,KAVÇİM ÇİMENTO FABRİKASI,SAMSUN,last slash suffix only; not externally verified,domestic_and_regional_project_references,138,136,right,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
597,KAYSERİ KASKİ ATIKSI ARITMA TESİSİ,KAYSERİ KASKİ ATIKSI ARITMA TESİSİ,KAYSERİ KASKİ ATIKSI ARITMA TESİSİ,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
598,KAYSERİ MOBİLYACILAR GES,KAYSERİ MOBİLYACILAR GES,KAYSERİ MOBİLYACILAR GES,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
599,KAYSERİ RAYLI TAŞIMA SİSTEMİ TRAMVAY HATTI,KAYSERİ RAYLI TAŞIMA SİSTEMİ TRAMVAY HATTI,KAYSERİ RAYLI TAŞIMA SİSTEMİ TRAMVAY HATTI,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
600,KAZAKİSTAN AKTAU GOLF VİLLALARI & GOLF CLUB,KAZAKİSTAN AKTAU GOLF VİLLALARI & GOLF CLUB,KAZAKİSTAN AKTAU GOLF VİLLALARI & GOLF CLUB,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
601,KAZAKİSTAN AKTAU TEMA PARK,KAZAKİSTAN AKTAU TEMA PARK,KAZAKİSTAN AKTAU TEMA PARK,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
602,KAZAKİSTAN TALDYKOL ARITMA TESİSİ 5.FAZ,KAZAKİSTAN TALDYKOL ARITMA TESİSİ 5.FAZ,KAZAKİSTAN TALDYKOL ARITMA TESİSİ 5.FAZ,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
603,KAZAN SODA ELEKTRİK / ANKARA,KAZAN SODA ELEKTRİK / ANKARA,KAZAN SODA ELEKTRİK,ANKARA,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
604,KCC BOYA GEBZE FABRİKASI / KOCAELİ,KCC BOYA GEBZE FABRİKASI / KOCAELİ,KCC BOYA GEBZE FABRİKASI,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
605,KEMALİYE JES / MANİSA,KEMALİYE JES / MANİSA,KEMALİYE JES,MANİSA,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
606,KERBELA 400 YATAKLI HASTANE / IRAK,KERBELA 400 YATAKLI HASTANE / IRAK,KERBELA 400 YATAKLI HASTANE,IRAK,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
607,KIBRIS ÜNİVERSİTESİ / KKTC,KIBRIS ÜNİVERSİTESİ / KKTC,KIBRIS ÜNİVERSİTESİ,KKTC,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
608,KIRIKHAN ATIKSU ARITMA TESİSİ / HATAY,KIRIKHAN ATIKSU ARITMA TESİSİ / HATAY,KIRIKHAN ATIKSU ARITMA TESİSİ,HATAY,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
609,KIRKAĞAÇ RES / MANİSA,KIRKAĞAÇ RES / MANİSA,KIRKAĞAÇ RES,MANİSA,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
610,KIYI EMNİYET GENEL MÜD. FLORYA / İSTANBUL,KIYI EMNİYET GENEL MÜD. FLORYA / İSTANBUL,KIYI EMNİYET GENEL MÜD. FLORYA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
611,KIZILCAHAMAM ATIKSU ARITMA TESİSİ / ANKARA,KIZILCAHAMAM ATIKSU ARITMA TESİSİ / ANKARA,KIZILCAHAMAM ATIKSU ARITMA TESİSİ,ANKARA,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
612,KIZILORDA HAVALİMANI / KAZAKİSTAN,KIZILORDA HAVALİMANI / KAZAKİSTAN,KIZILORDA HAVALİMANI,KAZAKİSTAN,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
613,KIZKALESİ ATIKSU ARITMA TESİSİ / MERSİN,KIZKALESİ ATIKSU ARITMA TESİSİ / MERSİN,KIZKALESİ ATIKSU ARITMA TESİSİ,MERSİN,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
614,KİEV BORYSPİL HAVAALANI / UKRAYNA,KİEV BORYSPİL HAVAALANI / UKRAYNA,KİEV BORYSPİL HAVAALANI,UKRAYNA,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
615,KİPTAŞ ÇATALCA KONUTLARI / İSTANBUL,KİPTAŞ ÇATALCA KONUTLARI / İSTANBUL,KİPTAŞ ÇATALCA KONUTLARI,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
616,KİPTAŞ EYÜPSULTAN YEŞİLPINAR EVLERİ / İSTANBUL,KİPTAŞ EYÜPSULTAN YEŞİLPINAR EVLERİ / İSTANBUL,KİPTAŞ EYÜPSULTAN YEŞİLPINAR EVLERİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
617,KİPTAŞ MALTEPE BAŞIBÜYÜK KONUTLARI / İSTANBUL,KİPTAŞ MALTEPE BAŞIBÜYÜK KONUTLARI / İSTANBUL,KİPTAŞ MALTEPE BAŞIBÜYÜK KONUTLARI,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
618,KİPTAŞ SİLİVRİ KONUTLARI / İSTANBUL,KİPTAŞ SİLİVRİ KONUTLARI / İSTANBUL,KİPTAŞ SİLİVRİ KONUTLARI,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
619,KİPTAŞ VADİTEPE GÖL EVLERİ / İSTANBUL,KİPTAŞ VADİTEPE GÖL EVLERİ / İSTANBUL,KİPTAŞ VADİTEPE GÖL EVLERİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
620,KİRAZLI BAKIRKÖY METRO / İSTANBUL,KİRAZLI BAKIRKÖY METRO / İSTANBUL,KİRAZLI BAKIRKÖY METRO,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
621,KKC MARMARAY CR3 / İSTANBUL,KKC MARMARAY CR3 / İSTANBUL,KKC MARMARAY CR3,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
622,KM KÜMSAN DİLOVASI FABRİKASI / KOCAELİ,KM KÜMSAN DİLOVASI FABRİKASI / KOCAELİ,KM KÜMSAN DİLOVASI FABRİKASI,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
623,KOCAELİ ENTEGRE SAĞLIK KAMPÜSÜ,KOCAELİ ENTEGRE SAĞLIK KAMPÜSÜ,KOCAELİ ENTEGRE SAĞLIK KAMPÜSÜ,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
624,KOCAELİ İSPAK YENİ BİNA,KOCAELİ İSPAK YENİ BİNA,KOCAELİ İSPAK YENİ BİNA,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
625,KOÇ ÜNİVERSİTESİ SAĞLIK BİLİMLERİ KAMPÜSÜ / İSTANBUL,KOÇ ÜNİVERSİTESİ SAĞLIK BİLİMLERİ KAMPÜSÜ / İSTANBUL,KOÇ ÜNİVERSİTESİ SAĞLIK BİLİMLERİ KAMPÜSÜ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
626,KOLİN OTEL TUZLA / İSTANBUL,KOLİN OTEL TUZLA / İSTANBUL,KOLİN OTEL TUZLA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
627,KONAK HASTANESİ GEBZE / KOCAELİ,KONAK HASTANESİ GEBZE / KOCAELİ,KONAK HASTANESİ GEBZE,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
628,KONTEK DÜET ÇİFTEHAVUZLAR KONUT / İSTANBUL,KONTEK DÜET ÇİFTEHAVUZLAR KONUT / İSTANBUL,KONTEK DÜET ÇİFTEHAVUZLAR KONUT,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
629,KONYA KARAPINAR YEKA 1 GES,KONYA KARAPINAR YEKA 1 GES,KONYA KARAPINAR YEKA 1 GES,,no slash suffix,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
630,KORDSA / KOCAELİ,KORDSA / KOCAELİ,KORDSA,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
631,KORKMAZ MUTFAK EŞYALARI FABRİKASI / İSTANBUL,KORKMAZ MUTFAK EŞYALARI FABRİKASI / İSTANBUL,KORKMAZ MUTFAK EŞYALARI FABRİKASI,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
632,KORU FLORYA YAŞAM VE TİC. MERKEZİ / İSTANBUL,KORU FLORYA YAŞAM VE TİC. MERKEZİ / İSTANBUL,KORU FLORYA YAŞAM VE TİC. MERKEZİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
633,KORUMA KLOR ALKALİ A.Ş. / KOCAELİ,KORUMA KLOR ALKALİ A.Ş. / KOCAELİ,KORUMA KLOR ALKALİ A.Ş.,KOCAELİ,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
634,KORUMA KLOR ALKALİ HİDROJEN PEROKSİT TESİSİ / HATAY,KORUMA KLOR ALKALİ HİDROJEN PEROKSİT TESİSİ / HATAY,KORUMA KLOR ALKALİ HİDROJEN PEROKSİT TESİSİ,HATAY,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
635,KOSİFLER İŞ MERKEZİ / İSTANBUL,KOSİFLER İŞ MERKEZİ / İSTANBUL,KOSİFLER İŞ MERKEZİ,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
636,KOSİFLER OTOMOTİV KAVACIK PLAZA / İSTANBUL,KOSİFLER OTOMOTİV KAVACIK PLAZA / İSTANBUL,KOSİFLER OTOMOTİV KAVACIK PLAZA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
637,KOZYATAĞI ANADOLU PLAZA / İSTANBUL,KOZYATAĞI ANADOLU PLAZA / İSTANBUL,KOZYATAĞI ANADOLU PLAZA,İSTANBUL,last slash suffix only; not externally verified,domestic_and_regional_project_references,139,137,left,black,catalogue_extracted_not_currently_verified,"Catalogue wording retained. Line wraps were reconstructed from the PDF layout; names, locations, project status and customer relationships were not externally verified."
